,match_id,premiere_rating,date,map,team_1,team_1_score,team_2,team_2_score,KDA
48,229412620,19942,2024-12-15 17:40:00.732950,de_dust2,"['-Predak', 'absolute?     stat1k?!', 'Forlo Fronso', 'Teapson', 'StaTerA']",13,"['SturmRebell ツ', 'Raven', 'Fleischmützen Heikoh', 'aCCu', 'DoubleD ツ']",3,"['121', '122', '41']"
49,229419469,17101,2024-12-15 18:45:27.112689,de_dust2,"['Mecenat', 'Nissqqy', 'ISeeYou', 'RotaryRoacket532', 'Luzi']",6,"['omer!♥UA♥', 's0h4rd', 'Nidgey', 'Lavonas2', 'Mululu']",0,"['33', '35', '6']"
50,229418918,16564,2024-12-15 18:45:27.344904,de_vertigo,"['2/12/22', 'Satanabeata', '究极无敌暴龙战士', 'ALONE', '🖤Laftech🖤']",6,"['2023 major winner', 'IAMBAYGAR', 'moli', 'METSUKI SUTEMI', 'Diablo™✔']",0,"['5', '28', '1']"
51,229418924,11511,2024-12-15 18:45:27.606523,de_mirage,"['xelex', 'G-Class Basketball Club', 'Daiske', '星之卡比', '']",10,"['Bóp Dái A Cần❤', 'Weizinne', 'deadinside.', '𝒴𝒯𝒟', '🌍Tra1N']",0,"['40', '46', '2']"
52,229418887,8447,2024-12-15 18:45:27.802175,de_anubis,"['Даниэль', 'luff1x', '👑KALU👑', 'unclemashup', 'MrKUNIOLD(:']",1,"['plankton1904', 'Kieszonka', '-ExotiC-', 'EL divo', 'sikomek']",4,"['23', '28', '8']"
53,229419187,17057,2024-12-15 18:45:27.997279,de_mirage,"['𝕰𝖒𝖕𝖗𝖊𝖘𝖘™', 'qefr6h7h', '我测你们码', 'XiaoYuePL', 'King Of Núi']",13,"['imranitzme', 'Im_BatMAN™', 'InsAne', 'CAPTAIN', 'Zhi']",0,"['74', '76', '15']"
54,229419320,12276,2024-12-15 18:45:28.608824,de_vertigo,"['', 'JSM *********_com', 'Antonio Montana', 'Аккаунт НЕ горы']",2,"['JaJa', 'Rewind', 'Corck', 'safe', 'Kind']",7,"['54', '55', '14']"
55,229419166,5660,2024-12-15 18:45:28.984894,de_inferno,"['Hattori Hanzo', 'convulsive seizures', 'Mr.', 'CS2SKINS.COM.PL', 'Lentox']",2,"['Kramer', 'Gro424.pestefinalboss', 'SuShi', 'SiouX', '✠']",7,"['56', '58', '17']"
56,229418923,9097,2024-12-15 18:45:29.065209,de_inferno,"['ONE TAP MACHINE!!!', '[KOTW] llDomovoYll', 'NFL. | ГЛИСТ㋛', 'JANKO', 'Polpug']",0,"['Christopher', '♥ loutrack ツ', 'Pasiiix3', 'davy', 'BoLoDyA']",6,"['37', '37', '12']"
57,229419075,18549,2024-12-15 18:45:29.265483,de_dust2,"['Bobstarley', 'pakxxx', 'SosNeedthe♿', '我操你妈', 'rifatdg0161']",0,"['么INSURRECTION', 'BACC', '', '梦以沉', '']",13,"['70', '72', '2']"
58,229418712,8553,2024-12-15 18:45:29.483312,de_ancient,"['NeliQ1906<3 CSGOSKINS', 'JACKBOYS', 'NeoNoi', 'N1BL', 'Def_Gun']",7,"['KonsTa', 'BroO', 'Tfuusuki pedajashi (cezarmycie)', 'Azurin', 'o_O']",0,"['38', '41', '10']"
