,match_id,official_rank,date,map,team_1,team_1_score,team_2,team_2_score,KDA
43,229412447,Gold Nova II,2024-12-15 17:39:46.040835,de_dust2,"['СтволХохотун', 'OneTap^^', 'Wasted', 'MUVAHID', 'ВОЛК по жизни']",1,"['CEMAL PAŞA', ""s'avcı"", '『Excellent』', 'Pinkman', 'EL Kænte']",13,"['102', '102', '22']"
44,229412377,Silver II,2024-12-15 17:39:46.116928,de_train,"['Sazo', 'stuggy', 'Hamion', 'kickez', 'autist']",4,"['PeeK4Y', 'The Hunter_2612', 'Bigfarmer', 'Excidia', 'franky']",13,"['114', '118', '35']"
45,229412550,Silver Elite Master,2024-12-15 17:39:46.338457,de_nuke,"['Buřt', '㊝4☣20☢➽☠', 'UA_SEVER', 'Wolfy', 'AndreYus']",2,"['#Lemon_squizi# Atsu', 'HzKTo', 'A HA', 'lev sin kartavogo', 'So.Nice78']",13,"['100', '105', '22']"
46,229412653,Gold Nova Master,2024-12-15 17:39:57.492735,de_mirage,"['CHORONG', '/sunhide', '23', 'Tiran', '汤姆猫']",2,"['アニメシュニク', 'Frutik', 'vaxyul mirron', '☢☆Legend☆☢', 'דימה']",7,"['59', '60', '17']"
47,229412046,Silver Elite,2024-12-15 17:39:57.596761,de_nuke,"['deathbusinessclub', 'Шурик', '(Stels) AGGRESSIVE', 'M1REL', 'Павел СВО']",3,"['Aspire', '\ue018PrinZ\ue018', '◢ Cloudex ◣', 'Guggerrrrrrrrrrr', 'kill_m@sterS']",3,"['28', '37', '8']"
48,229412594,Gold Nova Master,2024-12-15 17:39:57.816296,de_inferno,"['Criss', '✪works', 'Black Knee-Girl', 'mikey', 'lied']",0,"['rezzah', 'frag daddy', 'PoolShark', 'BolieB', 'Badass Sigma Tshirt']",13,"['55', '56', '14']"
49,229412126,Silver III,2024-12-15 17:39:57.898398,de_mirage,"['x213ll', 'Dot', '', 'Weapon X', 'FrankTheTank']",0,"['ABBYFINGERS', 'Brylan Bristopher Woods', 'ftuhcakt', 'Th3R3alR3d', 'Faded']",9,"['50', '50', '9']"
50,229411925,Master Guardian II,2024-12-15 17:39:57.982138,de_inferno,"['BeaVErinO', '我是新手别杀我', '不要欺负我队友', 'i sniff glue', '⭕⃤']",6,"['Mash Burnedead', 'TySMerxwho', 'Posion', 'jieeeee', 'M1ng']",2,"['44', '50', '9']"
51,229412626,Gold Nova III,2024-12-15 17:39:58.079949,de_mirage,"['Sinkbasher', 'marco', 'Manicers', 'lit', 'Scottie <><']",4,"['⸸\u2067\u20671sleep23', 'Rx', 'Running Outta Love', 'norton', 'Cooms']",7,"['73', '75', '24']"
52,229412081,Gold Nova I,2024-12-15 17:39:58.161334,de_vertigo,"['Kakresukesh', 'Senchyck', 'Aqula', 'ZykOLL', 'smol beib']",1,"['w', 'K҉N҉I҉G҉H҉T҉', 'Daik0ku神', 'YourFox666', 'KorbenDallas']",10,"['67', '68', '20']"
53,229412125,Gold Nova III,2024-12-15 17:39:58.248292,de_dust2,"['SoundWave', 'BaRasH1k 巴拉西克', 'Ma1onez1', 'CНИКЕРСАН', 'uwu discord kitten']",12,"['No L\ue011', 'K-9', 'Jesus', 'SANEKMR']",1,"['31', '35', '4']"
54,229412598,Silver I,2024-12-15 17:39:58.367404,de_inferno,"['Piest ™', 'Felatho', 'piterpatroly60', 'İEG', 'iso']",6,"['z1rex', 'kokstrollek', 'DaNU,_^-^', 'RaVeR [Sex]', '1Floryn']",5,"['72', '75', '21']"
55,229412138,Silver Elite Master,2024-12-15 17:39:58.476254,de_mirage,"['Ak1r0', 'Antonio', 'Iwi', 'Folo', 'Cezary Cezary']",4,"['FORBIDDEN!', 'dUrkaLEt', 'Rokselana zadartonosa', 'Prizrak', 'I WANNA FUCK']",7,"['66', '66', '21']"
56,229411805,Gold Nova I,2024-12-15 17:39:58.879882,de_inferno,"['Echo.', 'Konri', '呓语', '', '程思']",13,"['安东诺夫机场没有懦夫', 'Mr Penis', '亮堂堂发廊16号', 'f1zzyyy26', '']",0,"['81', '83', '2']"
57,229411002,Master Guardian II,2024-12-15 17:39:58.957346,de_dust2,"['Naaeon', 'a5sl3ss', 'ga', 'Naaeon Cao', 'SwagggyYY']",1,"['tren', 'sosa', 'seeyuh', 'RyanShooter2009', 'EightSix']",4,"['30', '31', '10']"
58,229412618,Gold Nova Master,2024-12-15 17:39:59.384313,de_train,"['W+MOUSE 1 | 笑一笑 mAOO,,', 'vovcιĸ', 'RaVi', 'Sachok', 'Ballsack420']",3,"['Xi Jinping', 'LYNX', 'feshu', 'Pandora', 'SportocysJL']",13,"['108', '109', '31']"
